Title,Score,EpisodeCount,Studio,Source,Aired,Members,Favorites,Popularity,Rank
Ginga Sengoku Gunyuuden Rai\Galaxy Warring State Chronicle Rai,7.9,52, E&G Films, Manga, Spring 1994,13606,72,4852,712
Jigoku Shoujo Futakomori\Hell Girl: Two Mirrors,7.9,26, Studio Deen, Original, Fall 2006,149204,666,1258,713
Kami nomi zo Shiru Sekai II\The World God Only Knows II,7.9,12, Manglobe, Manga, Spring 2011,360092,944,497,714
Karigurashi no Arrietty\The Secret World of Arrietty,7.9,1, Studio Ghibli, Novel,TBD,290611,891,648,715
Macross F\Macross Frontier,7.9,25, Satelight, Original, Spring 2008,137672,1803,1341,716
Beastars,7.89,12, Orange, Manga, Fall 2019,709910,8725,212,717
Carole & Tuesday,7.89,24, Bones, Original, Spring 2019,286409,2660,662,718
Code Geass: Hangyaku no Lelouch I - Koudou\Code Geass: Lelouch of the Rebellion I - Initiation,7.89,1, Sunrise, Original,TBD,86203,168,1889,719
Megalo Box,7.89,13, TMS Entertainment, Original, Spring 2018,446816,3035,396,720
Mobile Suit Zeta Gundam,7.89,50, Sunrise, Original, Spring 1985,62528,1862,2298,721
Sekaiichi Hatsukoi OVA,7.89,2, Studio Deen, Manga,TBD,66008,121,2230,722
Vampire Hunter D (2000)\Vampire Hunter D: Bloodlust,7.89,1, Madhouse, Light novel,TBD,151686,1598,1243,723
One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,7.88,1, Toei Animation, Manga,TBD,77113,95,2022,724
One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,7.88,1, Toei Animation, Manga,TBD,31085,20,3370,725
Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,7.88,1,"Studios: Brains Base, Marvy Jack", Light novel,TBD,154169,282,1222,726
Osomatsu-san Movie\Mr. Osomatsu the Movie,7.88,1, Studio Pierrot, Manga,TBD,12593,70,5018,727
"Sayonara Zetsubou Sensei\Sayonara, Zetsubou-Sensei",7.88,12, Shaft, Manga, Summer 2007,317216,4454,583,728
"Sekaiichi Hatsukoi 2\Sekai Ichi Hatsukoi - Worlds Greatest First Love 2""",7.88,12, Studio Deen, Manga, Fall 2011,144626,701,1288,729
Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,7.88,1, Studio Deen, Light novel,TBD,60013,204,2355,730
SpaceDandy\Space Dandy,7.88,13, Bones, Original, Winter 2014,312601,4769,591,731
Tiger & Bunny,7.88,25, Sunrise, Original, Spring 2011,206523,2793,933,732
Zan Sayonara Zetsubou Sensei,7.88,13, Shaft, Manga, Summer 2009,98792,221,1729,733
Berserk: Ougon Jidai-hen II - Doldrey Kouryaku\Berserk: The Golden Age Arc II - The Battle for Doldrey,7.88,1, Studio 4C, Manga,TBD,180831,597,1039,734
Carnival Phantasm,7.88,12, Lerche, Manga,TBD,177963,1503,1056,735
Detective Conan Movie 02: The Fourteenth Target\Case Closed: The Fourteenth Target,7.88,1, TMS Entertainment, Manga,TBD,56280,58,2454,736
"Hoozuki no Reitetsu 2nd Season\Hozukis Coolheadedness 2""",7.88,13, Studio Deen, Manga, Fall 2017,42003,99,2861,737
Initial D Third Stage,7.88,1, Studio Deen, Manga,TBD,144235,535,1293,738
Inochi no Tabekata\How to Eat Life,7.88,1," None found, add some", Music,TBD,3348,21,8369,739
Mahou Shoujo Lyrical Nanoha: The Movie 1st\Magical Girl Lyrical Nanoha: The Movie 1st,7.88,1, Seven Arcs, Original,TBD,29184,187,3487,740
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie\anohana: The Flower We Saw That Day The Movie,7.87,1, A-1 Pictures, Original,TBD,265745,580,719,741
Beastars 2nd Season,7.87,12, Orange, Manga, Winter 2021,353343,1995,512,742
Beelzebu,7.87,60, Pierrot Plus, Manga, Winter 2011,537248,4953,326,743
Bishoujo Senshi Sailor Moon S\Sailor Moon S,7.87,38, Toei Animation, Manga, Spring 1994,130121,1278,1393,744
Blue Period,7.87,12, Seven Arcs, Manga, Fall 2021,318813,4091,581,745
Douluo Dalu: Xiaowu Fuhuo,7.87,13, Sparkly Key Animation Studio, Novel,TBD,2664,21,8977,746
Durarara!! Specials,7.87,2,Studios: Brains Base, Light novel,TBD,159688,154,1188,747
HighSpeed! Movie: Free! Starting Days\Free! Starting Days,7.87,1, Kyoto Animation, Light novel,TBD,83178,248,1936,748
"Kyoukai no Kanata Movie: Ill Be Here - Kako-hen - Yakusoku no Kizuna\Beyond the Boundary: Ill Be Here - Past Special""",7.87,1, Kyoto Animation, Light novel,TBD,54984,81,2484,749
Les Misrables: Shoujo Cosette,7.87,52, Nippon Animation, Novel, Winter 2007,25380,227,3717,750
Lupin III vs. Detective Conan: The Movie,7.87,1, TMS Entertainment, Unknown,TBD,27708,39,3572,751
"Mobile Suit Gundam: Hathaways Flash""",7.87,1, Sunrise, Novel,TBD,23506,185,3854,752
Noragami Aragoto OVA,7.87,2, Bones, Manga,TBD,233864,357,817,753
Seitokai Yakuindomo* OVA,7.87,10, GoHands, 4-koma manga,TBD,71641,96,2115,754
Tennis no Ouji-sama\The Prince of Tennis,7.87,178, Trans Arts, Manga, Fall 2001,163454,2891,1162,755
There She Is!!,7.87,5," None found, add some", Unknown,TBD,23259,152,3875,756
Top wo Nerae! Gunbuster\Gunbuster,7.87,6, Gainax, Original,TBD,109529,2459,1584,757
Musekinin Kanchou Tylor\The Irresponsible Captain Tylor,7.86,26, Tatsunoko Production, Light novel, Winter 1993,43138,481,2810,758
Shingeki no Kyojin OVA\Attack on Titan OADs,7.86,3, Wit Studio, Manga,TBD,396142,813,453,759
Tanaka-kun wa Itsumo Kedaruge\Tanaka-kun is Always Listless,7.86,12, SILVER LINK., Web manga, Spring 2016,400605,3861,446,760
Tentai Senshi Sunred 2nd Season,7.86,26, AIC ASTA, Manga, Fall 2009,7384,25,6229,761
Yuru Yuri Nachuyachumi!,7.86,1, TYO Animations, Manga,TBD,66908,138,2219,762
Douluo Dalu,7.86,26, Sparkly Key Animation Studio, Novel,TBD,21638,364,4002,763
Dramaturgy,7.86,1," None found, add some", Original,TBD,4321,31,7685,764
Flanders no Inu (Movie)\The Dog of Flanders,7.86,1, Nippon Animation, Novel,TBD,19906,72,4140,765
"Gekkan Shoujo Nozaki-kun\Monthly Girls Nozaki-kun""",7.86,12, Doga Kobo, 4-koma manga, Summer 2014,827423,10180,156,766
Golden Kamuy,7.86,12, Geno Studio, Manga, Spring 2018,298115,3014,634,767
Grisaia no Meikyuu: Caprice no Mayu 0\The Labyrinth of Grisaia: The Cocoon of Caprice 0,7.86,1, 8bit, Visual novel,TBD,207353,638,928,768
Hanasaku Iroha Movie: Home Sweet Home\Hanasaku Iroha the Movie: Home Sweet Home,7.86,1, P.A. Works, Original,TBD,81288,81,1963,769
Hoozuki no Reitetsu OVA,7.86,4," Studio Deen, Wit Studio", Manga,TBD,15912,16,4566,770
Id:Invaded,7.86,13, NAZ, Original, Winter 2020,296148,2354,640,771
Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari\Kaleido Star: Legend of Phoenix - The Layla Hamilton Story,7.86,1, Gonzo, Original,TBD,13380,30,4881,772
Kara no Kyoukai 4: Garan no Dou\the Garden of sinners Chapter 4: The Hollow Shrine,7.86,1, ufotable, Light novel,TBD,195429,287,978,773
"Kobayashi-san Chi no Maid Dragon S: Nippon no Omotenashi - Attend wa Dragon Desu\Miss Kobayashis Dragon Maid S: Japanese Hospitality (My Attendant Is a Dragon)""",7.86,1, Kyoto Animation, Manga,TBD,46265,245,2715,774
Kokoro ga Sakebitagatterunda.\The Anthem of the Heart,7.86,1, A-1 Pictures, Original,TBD,289016,1782,655,775
Lupin the IIIrd: Chikemuri no Ishikawa Goemon,7.86,1, Telecom Animation Film, Manga,TBD,33324,105,3264,776
Magi: Sinbad no Bouken (TV)\Magi: Adventure of Sinbad,7.86,13, Lay-duce, Manga, Spring 2016,426300,1424,415,777
Magic Kaito 1412,7.86,24, A-1 Pictures, Manga, Fall 2014,110778,977,1575,778
Aoki Hagane no Arpeggio: Ars Nova Movie 2 - Cadenza,7.85,1, SANZIGEN, Manga,TBD,29029,120,3493,779
Bleach,7.85,366, Studio Pierrot, Manga, Fall 2004,1615694,57565,40,780
Densetsu Kyojin Ideon: Hatsudou-hen\The Ideon: Be Invoked,7.85,1, Sunrise, Original,TBD,8021,142,6015,781
Detective Conan Movie 01: The Timed Skyscraper\Case Closed The Movie: The Time Bombed Skyscraper,7.85,1, TMS Entertainment, Manga,TBD,63263,77,2286,782
Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,7.85,12, Production I.G, Novel,TBD,10488,44,5387,783
"Hoozuki no Reitetsu 2nd Season: Sono Ni\Hozukis Coolheadedness 2""",7.85,13, Studio Deen, Manga, Spring 2018,25331,42,3723,784
InuYasha,7.85,167, Sunrise, Manga, Fall 2000,700356,16378,220,785
Jibaku Shounen Hanako-kun\Toilet-bound Hanako-kun,7.85,12, Lerche, Manga, Winter 2020,467009,9710,375,786
K-On!,7.85,13, Kyoto Animation, 4-koma manga, Spring 2009,934358,21408,123,787
"Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!\KonoSuba: Gods Blessing on This Wonderful World!: Gods Blessing on This Wonderful Choker!""",7.85,1, Studio Deen, Light novel,TBD,346738,585,527,788
Non Non Biyori Repeat: Hotaru ga Tanoshinda,7.85,1, SILVER LINK., Manga,TBD,42825,34,2823,789
Paradise Kiss,7.85,12, Madhouse, Manga, Fall 2005,189300,3493,1002,790
Seihou Bukyou Outlaw Star\Outlaw Star,7.85,24, Sunrise, Manga, Winter 1998,139405,1959,1328,791
Uchouten Kazoku\The Eccentric Family,7.85,13, P.A. Works, Novel, Summer 2013,153028,1398,1231,792
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV)\Classroom of the Elite,7.85,12, Lerche, Light novel, Summer 2017,875129,12660,143,793
Michiko to Hatchin\Michiko & Hatchin,7.84,22, Manglobe, Original, Fall 2008,174829,2114,1071,794
New Initial D Movie: Legend 3 - Mugen,7.84,1," SANZIGEN, LIDENFILMS", Manga,TBD,21953,48,3983,795
Seitokai Yakuindomo Movie,7.84,1, GoHands, 4-koma manga,TBD,51776,75,2551,796
Seto no Hanayome OVA,7.84,2, Gonzo, Manga,TBD,50035,30,2609,797
Soul Eater,7.84,51, Bones, Manga, Spring 2008,1442839,23634,54,798
Suzumiya Haruhi no Yuuutsu\The Melancholy of Haruhi Suzumiya,7.84,14, Kyoto Animation, Light novel, Spring 2006,835784,14396,151,799
Tasogare Otome x Amnesia\Dusk Maiden of Amnesia,7.84,12, SILVER LINK., Manga, Spring 2012,361381,4237,496,800
"Working!!\Wagnaria!!2""",7.84,13, A-1 Pictures, 4-koma manga, Fall 2011,244369,434,791,801
Yume-iro Ptissire,7.84,50," Studio Pierrot, Studio Hibari", Manga, Fall 2009,72961,982,2089,802
Yuru Yuri\YuruYuri: Happy Go Lily ,7.84,12, Doga Kobo, Manga, Summer 2012,168045,895,1122,803
Aggressive Retsuko (ONA) 3rd Season,7.84,10, Fanworks, Other,TBD,68433,209,2180,804
Break Blade 4: Sanka no Chi\Broken Blade 4,7.84,1," Production I.G, Xebec", Manga,TBD,55656,27,2468,805
Danshi Koukousei no Nichijou Specials\Daily Lives of High School Boys Specials,7.84,6, Sunrise, Web manga,TBD,123102,171,1452,806
Detective Conan Movie 22: Zero the Enforcer\Detective Conan: Zero the Enforcer,7.84,1, TMS Entertainment, Manga,TBD,24565,59,3784,807
Detective Conan Movie 23: The Fist of Blue Sapphire,7.84,1, TMS Entertainment, Manga,TBD,22789,54,3921,808
Eikoku Koi Monogatari Emma: Molders-hen\Emma: A Victorian Romance Season Two,7.84,12, Ajia-Do, Manga, Spring 2007,23885,93,3832,809
Gungrave,7.84,26, Madhouse, Game, Fall 2003,170740,2199,1100,810
K-On!!: Keikaku!\K-ON!! Plan!,7.84,1, Kyoto Animation, Original,TBD,112500,200,1555,811
K-On!: Live House!\K-ON! Live House!,7.84,1, Kyoto Animation, 4-koma manga,TBD,144580,244,1290,812
Kaguya-sama wa Kokurasetai: Ultra Romantic\Kaguya-sama: Love Is War - Ultra Romantic,7.85,0, A-1 Pictures, Manga, Spring 2022,320914,3578,579,813
91 Days,7.83,12, Shuka, Original, Summer 2016,608555,6753,267,814
"Akebi-chan no Sailor-fuku\Akebis Sailor Uniform""",7.83,12, CloverWorks, Manga, Winter 2022,115020,756,1522,815
Capeta,7.83,52, Studio Comet, Manga, Fall 2005,23566,256,3852,816
Chuan Shu Zijiu Zhinan\Scumbag System,7.83,10, Djinn Power, Web novel,TBD,12979,380,4946,817
Goku Sayonara Zetsubou Sensei\Goodbye Mr. Despair OAD,7.83,3, Shaft, Manga,TBD,60775,82,2336,818
Haikyuu!! (OVA),7.83,10," None found, add some", Manga,TBD,24806,55,3762,819
Hidamari Sketch x 365,7.83,13, Shaft, 4-koma manga, Summer 2008,29402,160,3471,820
Igano Kabamaru,7.83,24, Group TAC, Manga, Fall 1983,9801,115,5520,821
Little Witch Academia (TV)\Little Witch Academia,7.83,25, Trigger, Original, Winter 2017,562618,6696,306,822
Lupin III: The First\Lupin the 3rd: The First,7.83,1," TMS Entertainment, Marza Animation Planet", Manga,TBD,24822,131,3761,823
Mahoujin Guruguru (2017)\Magical Circle,7.83,24, Production I.G, Manga, Summer 2017,30317,237,3405,824
"Mahoutsukai no Yome: Nishi no Shounen to Seiran no Kishi\The Ancient Magus Bride: The Boy from the West and the Knight of the Blue Storm""",7.83,3, Studio Kafka, Manga,TBD,45391,307,2738,825
Planetarian: Hoshi no Hito,7.83,1, David Production, Visual novel,TBD,41848,180,2869,826
Urusei Yatsura 2: Beautiful Dreamer,7.83,1, Studio Pierrot, Manga,TBD,15434,204,4617,827
Yi Nian Yong Heng,7.83,52, B.CMAY PICTURES, Novel,TBD,8317,90,5928,828
Yuusha-Ou GaoGaiGar\King of Braves GaoGaiGar,7.83,49, Sunrise, Original, Winter 1997,18721,303,4278,829
Maria-sama ga Miteru 3rd\Maria Watches Over Us 3rd,7.82,5, Studio Deen, Light novel,TBD,20467,84,4099,830
"Oniisama e...\Brother, Dear Brother",7.82,39, Tezuka Productions, Manga, Summer 1991,37904,793,3042,831
Owarimonogatari 2nd Season Recaps\Owarimonogatari Second Season Recaps,7.82,2, Shaft, Light novel,TBD,22811,40,3916,832
Psycho-Pass 3: First Inspector,7.82,3, Production I.G, Original,TBD,74685,137,2054,833
Saiyuuki Gaiden,7.82,3, Anpro, Manga,TBD,12529,69,5031,834
Slayers Try,7.82,26, E&G Films, Light novel, Spring 1997,50912,211,2580,835
Somali to Mori no Kamisama\Somali and the Forest Spirit,7.82,12," Satelight, HORNETS", Web manga, Winter 2020,247458,1410,780,836
Akachan to Boku\Baby and Me,7.82,35, Studio Pierrot, Manga, Summer 1996,20084,137,4123,837
Baby Steps,7.82,25, Studio Pierrot, Manga, Spring 2014,136303,809,1345,838
Break Blade 5: Shisen no Hate\Broken Blade 5,7.82,1," Production I.G, Xebec", Manga,TBD,53452,27,2519,839
Bungou Stray Dogs\Bungo Stray Dogs,7.82,12, Bones, Manga, Spring 2016,1112398,21237,92,840
Haikyuu!! Riku vs. Kuu,7.82,2, Production I.G, Manga,TBD,240886,513,800,841
Hidamari Sketch x  Specials,7.82,2, Shaft, 4-koma manga,TBD,13698,8,4840,842
Ie Naki Ko,7.82,51," Madhouse, TMS Entertainment", Novel, Fall 1977,12883,219,4964,843
Jormungand,7.82,12, White Fox, Manga, Spring 2012,312089,2679,595,844
Jungle wa Itsumo Hare nochi Guu\Har+Guu,7.82,26, Shin-Ei Animation, Manga, Spring 2001,31677,375,3335,845
"Kuroko no Basket: Tip Off\Kurokos Basketball Special""",7.82,1, Production I.G, Manga,TBD,93578,78,1785,846
"Lupin the IIIrd: Jigen Daisuke no Bohyou\Lupin III: Jigens Gravestone""",7.82,1, Telecom Animation Film, Manga,TBD,24940,76,3753,847
Aria the Crepuscolo,7.81,1, J.C.Staff, Manga,TBD,8983,29,5734,848
City Hunter 3,7.81,13, Sunrise, Manga, Fall 1989,18143,45,4335,849
Coquelicot-zaka kara\From Up on Poppy Hill,7.81,1, Studio Ghibli, Manga,TBD,164239,925,1154,850
Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu,7.81,1, Shin-Ei Animation, Manga,TBD,7971,72,6031,851
Detective Conan Movie 07: Crossroad in the Ancient Capital,7.81,1, TMS Entertainment, Manga,TBD,46011,29,2721,852
Detective Conan Movie 08: Time Travel of the Silver Sky,7.81,1, TMS Entertainment, Unknown,TBD,19466,7,4190,853
Ginga Tetsudou 999,7.81,113, Toei Animation, Manga, Fall 1978,30534,373,3397,854
Heartcatch Precure!,7.81,49, Toei Animation, Original, Winter 2010,27581,545,3581,855
Kekkai Sensen & Beyond\Blood Blockade Battlefront & Beyond,7.81,12, Bones, Manga, Fall 2017,375785,1470,481,856
Little Witch Academia,7.81,1, Trigger, Original,TBD,290870,1266,647,857
Macross F Movie 1: Itsuwari no Utahime\Macross Frontier: The False Songstress,7.81,1," Satelight, 8bit", Original,TBD,28669,47,3511,858
Magi: Sinbad no Bouken,7.81,5, Lay-duce, Manga,TBD,117659,218,1490,859
Nodame Cantabile: Finale - Mine to Kiyora no Saikai,7.81,1, J.C.Staff, Manga,TBD,40829,33,2905,860
SaintOniisan (Movie)\SaintYoung Men (Movie),7.81,1, A-1 Pictures, Manga,TBD,84489,417,1917,861
Seikai no Senki II\Banner of the Stars II,7.81,10, Sunrise, Light novel, Summer 2001,21775,113,3994,862
Shingeki no Kyojin Movie 2: Jiyuu no Tsubasa\Attack on Titan: Wings of Freedom,7.81,1, Wit Studio, Manga,TBD,106217,195,1631,863
Tamayura: Sotsugyou Shashin Part 3 - Akogare,7.81,1, TYO Animations, Original,TBD,8595,11,5858,864
"Wolfs Rain""",7.81,26, Bones, Original, Winter 2003,301090,5378,624,865
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii,7.81,1, Studio Gokumi, Light novel,TBD,13029,21,4934,866
Mobile Suit Gundam Wing: Endless Waltz Special\Mobile Suit Gundam Wing: Endless Waltz,7.8,1, Sunrise, Original,TBD,54371,175,2495,867
Saraiya Goyou\House of Five Leaves,7.8,12, Manglobe, Manga, Spring 2010,82721,793,1946,868
Sekaiichi Hatsukoi: Valentine-hen,7.8,1, Studio Deen, Manga,TBD,37245,55,3073,869
Shiguang Dailiren Fan Wai Pian: Biwu Zhaoqin\Link Click,7.8,1, Studio LAN, Original,TBD,19853,68,4145,870
Shingeki no Kyojin: Lost Girls\Attack on Titan: Lost Girls,7.8,3, Wit Studio, Novel,TBD,259198,501,746,871
Tokyo Ghoul,7.8,12, Studio Pierrot, Manga, Summer 2014,2442722,45766,7,872
"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen\Clannad ~After Story~: Another World, Kyou Chapter",7.8,1, Kyoto Animation, Visual novel,TBD,245465,557,789,873
Detective Conan Movie 09: Strategy Above the Depths,7.8,1, TMS Entertainment, Manga,TBD,44033,20,2780,874
"Emiya-san Chi no Kyou no Gohan\Todays Menu for the Emiya Family""",7.8,13, ufotable, Manga,TBD,110867,626,1574,875
Giant Robo the Animation: Chikyuu ga Seishi Suru Hi\Giant Robo the Animation: The Day the Earth Stood Still,7.8,7, Phoenix Entertainment, Manga,TBD,23477,407,3855,876
Gochuumon wa Usagi Desu ka??\Is the Order a Rabbit??,7.8,12," Kinema Citrus, White Fox", 4-koma manga, Fall 2015,116270,821,1509,877
High Score Girl\Hi Score Girl,7.8,12, J.C.Staff, Manga, Summer 2018,220424,2412,873,878
Innocence\Ghost in the Shell 2: Innocence,7.8,1, Production I.G, Manga,TBD,146225,884,1278,879
InuYasha Movie 3: Tenka Hadou no Ken\InuYasha the Movie 3: Swords of an Honorable Ruler,7.8,1, Sunrise, Manga,TBD,91870,183,1808,880
Jungle wa Itsumo Hare nochi Guu Deluxe\Har+Guu Deluxe,7.8,6, Shin-Ei Animation, Manga,TBD,11724,22,5154,881
Kageki Shoujo!!\Opera Girl!,7.8,13, Pine Jam, Manga, Summer 2021,63308,413,2285,882
Kara no Kyoukai 2: Satsujin Kousatsu (Zen)\the Garden of sinners Chapter 2: Murder Speculation Part A,7.8,1, ufotable, Light novel,TBD,218248,422,879,883
Kubikiri Cycle: Aoiro Savant to Zaregototsukai\The Kubikiri Cycle,7.8,8, Shaft, Light novel,TBD,92352,776,1802,884
Last Exile,7.8,26, Gonzo, Original, Spring 2003,160957,1746,1181,885
LuckyStar: Original na Visual to Animation,7.8,1, Kyoto Animation, 4-koma manga,TBD,124154,195,1442,886
Break Blade 3: Kyoujin no Ato\Broken Blade 3,7.79,1," Production I.G, Xebec", Manga,TBD,56766,28,2445,887
Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,7.79,1, Sunrise, Original,TBD,44738,78,2761,888
Detective Conan Movie 12: Full Score of Fear,7.79,1, TMS Entertainment, Manga,TBD,41901,17,2868,889
Gochuumon wa Usagi Desu ka??: Dear My Sister\Is the order a rabbit?? Dear My Sister,7.79,1, production doA, 4-koma manga,TBD,36480,119,3101,890
Grisaia no Rakuen\The Eden of Grisaia,7.79,10, 8bit, Visual novel, Spring 2015,367205,1996,492,891
Lupin III: Part II,7.79,155, Tokyo Movie Shinsha, Manga, Fall 1977,30200,292,3416,892
Saiyuuki Reload: Burial,7.79,3, Studio Pierrot, Manga,TBD,12346,47,5058,893
Maria-sama ga Miteru 4th\Maria Watches Over Us Season 4,7.78,13, Studio Deen, Light novel, Winter 2009,20165,86,4118,894
Mind Game,7.78,1, Studio 4C, Manga,TBD,70410,905,2143,895
New Initial D Movie: Legend 2 - Tousou\Initial D Legend 2 Racer,7.78,1," SANZIGEN, LIDENFILMS", Manga,TBD,24233,40,3816,896
Saenai Heroine no Sodatekata \Saekano: How to Raise a Boring Girlfriend .flat,7.78,11, A-1 Pictures, Light novel, Spring 2017,313842,1570,586,897
Seitokai Yakuindomo Movie 2,7.78,1, GoHands, 4-koma manga,TBD,24726,50,3769,898
Shiki Specials,7.78,2, Daume, Light novel,TBD,65326,76,2245,899
Shingeki no Kyojin Season 2 Movie: Kakusei no Houkou,7.78,1, Wit Studio, Manga,TBD,55632,77,2470,900
The Everlasting Guilty Crown,7.78,1," None found, add some", Unknown,TBD,32991,73,3282,901
The Last: Naruto the Movie,7.78,1, Studio Pierrot, Manga,TBD,502387,1783,347,902
Tiger & Bunny Movie 2: The Rising\Tiger & Bunny: The Rising,7.77,1, Sunrise, Original,TBD,26912,46,3630,903
Yuru Yuri Nachuyachumi!+,7.78,2, TYO Animations, Manga,TBD,50092,82,2609,904
Zan Sayonara Zetsubou Sensei Bangaichi,7.78,2, Shaft, Manga,TBD,37452,33,3059,905
"Ame wo Matsu,",7.78,1," None found, add some", Original,TBD,4171,15,7790,906
BanG Dream! GarupaPico,7.78,26," SANZIGEN, DMM.futureworks", Original,TBD,19006,139,4245,907
Cardcaptor Sakura: Clear Card-hen Prologue - Sakura to Futatsu no Kuma,7.78,1, Madhouse, Manga,TBD,37691,68,3050,908
Colorful (Movie)\Colorful The Motion Picture,7.78,1," Sunrise, Ascension", Novel,TBD,174363,1113,1079,909
Devilman: Crybaby,7.78,10, Science SARU, Manga,TBD,934451,19642,124,910
Enen no Shouboutai: Ni no Shou\Fire Force Season 2,7.78,24, David Production, Manga, Summer 2020,583307,2257,287,911
Ghost Hunt,7.78,25, J.C.Staff, Light novel, Fall 2006,213337,2862,898,912
Hataraku Maou-sama!\The Devil is a Part-Timer!,7.78,13, White Fox, Light novel, Spring 2013,1336076,10431,67,913
Hibike! Euphonium Movie 2: Todoketai Melody\Sound! Euphonium the Movie: May the Melody Reach You!,7.78,1, Kyoto Animation, Novel,TBD,24994,25,3747,914
Higashi no Eden\Eden of The East,7.78,11, Production I.G, Original, Spring 2009,520463,4042,337,915
"Hoozuki no Reitetsu\Hozukis Coolheadedness""",7.78,13, Wit Studio, Manga, Winter 2014,119289,1138,1475,916
Hug tto! Precure,7.78,49, Toei Animation, Original, Winter 2018,13634,213,4850,917
Isekai no Seikishi Monogatari\Tenchi Muyo! War on Geminar,7.78,13," AIC Spirits, BeSTACK", Original,TBD,179469,1722,1049,918
Jin-Rou\Jin-Roh: The Wolf Brigade,7.78,1, Production I.G, Manga,TBD,147921,1526,1265,919
Love Live! School Idol Project 2nd Season\Love Live! School Idol Project 2,7.78,13, Sunrise, Other, Spring 2014,234921,2688,812,920
Lupin III vs. Detective Conan,7.78,1, TMS Entertainment, Unknown,TBD,31342,36,3354,921
Magic Kaito,7.78,12, TMS Entertainment, Manga,TBD,64553,311,2256,922
Akagami no Shirayuki-hime\Snow White with the Red Hair,7.77,12, Bones, Manga, Summer 2015,579972,6455,293,923
Digimon Adventure\Digimon: Digital Monsters,7.77,54, Toei Animation, Other, Spring 1999,366081,4811,494,924
Digimon Adventure: Bokura no War Game!\Digimon: The Movie,7.77,1, Toei Animation, Original,TBD,70434,285,2142,925
Hadashi no Gen\Barefoot Gen,7.77,1, Madhouse, Manga,TBD,44124,128,2776,926
"Haikyuu!! vs. ""Akaten""",7.77,1, Production I.G, Manga,TBD,79074,68,1993,927
Hidamari Sketch x SP,7.77,2, Shaft, 4-koma manga,TBD,13461,12,4868,928
Kokoro Connect,7.77,13, SILVER LINK., Light novel, Summer 2012,754801,7590,180,929
Kuroko no Basket Movie 3: Winter Cup - Tobira no Mukou\Winter Cup Highlights Episode 3  Winter Cup Highlights -Crossing the Door-,7.77,1, Production I.G, Manga,TBD,33138,31,3275,930
Kyou kara Maou! 3rd Series,7.77,39, Studio Deen, Light novel, Spring 2008,31391,101,3350,931
Lupin the Third: Mine Fujiko to Iu Onna\Lupin the Third: The Woman Called Fujiko Mine,7.77,13, TMS Entertainment, Manga, Spring 2012,55749,417,2467,932
Maria-sama ga Miteru 4th\Maria Watches Over Us Season 4,7.77,13, Studio Deen, Light novel, Winter 2009,20169,86,4118,933
New Initial D Movie: Legend 1 - Kakusei\Initial D Legend 1 Awakening,7.77,1," SANZIGEN, LIDENFILMS", Manga,TBD,30545,66,3396,934
Ojamajo Doremi Na-i-sho,7.77,13, Toei Animation, Unknown,TBD,9145,82,5686,935
Seitokai Yakuindomo OVA,7.77,8, GoHands, 4-koma manga,TBD,118706,108,1478,936
Tentai Senshi Sunred,7.77,26, AIC ASTA, Manga, Fall 2008,20808,198,4072,937
The Disappearance of Conan Edogawa: The Worst Two Days in History,7.77,1, TMS Entertainment, Manga,TBD,11507,6,5188,938
Tunshi Xingkong\Swallowed Star,7.77,26, Sparkly Key Animation Studio, Novel,TBD,2586,39,9041,939
Mobile Suit Gundam,7.76,43, Sunrise, Original, Spring 1979,113411,1884,1541,940
Mobile Suit Gundam III: Encounters in Space,7.76,1, Sunrise, Original,TBD,27564,123,3583,941
Mobile Suit Gundam SEED,7.76,50, Sunrise, Original, Fall 2002,153291,3311,1229,942
Overlord II,7.76,13, Madhouse, Light novel, Winter 2018,831610,3789,155,943
Ranma ,7.76,161, Studio Deen, Manga, Spring 1989,223959,3599,851,944
Shaman King,7.76,64, Xebec, Manga, Summer 2001,334753,3541,547,945
Shanhe Jian Xin\Thousand Autumns,7.76,16, Motion Magic, Novel,TBD,5889,110,6795,946
Snow Halation,7.76,1, Sunrise, Music,TBD,20492,94,4095,947
Tamayura: Sotsugyou Shashin Part 2 - Hibiki,7.76,1, TYO Animations, Original,TBD,9018,11,5727,948
Texhnolyze,7.76,22, Madhouse, Original, Spring 2003,215296,4227,891,949
Toshokan Sensou: Kakumei no Tsubasa,7.76,1, Production I.G, Novel,TBD,22135,41,3969,950
