Title,Score,EpisodeCount,Studio,Source,Aired,Members,Favorites,Popularity,Rank
Nichijou\Nichijou - My Ordinary Life,8.46,26, Kyoto Animation, Manga, Spring 2011,773575,20402,171,128
Owarimonogatari,8.46,12, Shaft, Light novel, Fall 2015,427583,2629,414,129
Saenai Heroine no Sodatekata Fine,8.46,1, CloverWorks, Light novel,TBD,145466,2059,1284,130
Steins;Gate Movie: Fuka Ryouiki no Dj vu\Steins;Gate: The Movie  Load Region of Dj Vu,8.46,1, White Fox, Visual novel,TBD,526452,2344,331,131
"Vivy: Fluorite Eyes Song\Vivy -Fluorite Eyes Song-""",8.46,13, Wit Studio, Original, Spring 2021,402143,8307,445,132
Mahou Shoujo MadokaMagica Movie 3: Hangyaku no Monogatari\Puella Magi Madoka Magica the Movie: Rebellion,8.46,1, Shaft, Original,TBD,332560,7591,551,133
Golden Kamuy 3rd Season\Golden Kamuy Season 3,8.45,12, Geno Studio, Manga, Fall 2020,121634,1123,1458,134
Haikyuu!!\Haikyu!!,8.45,25, Production I.G, Manga, Spring 2014,1655260,64885,38,135
Mo Dao Zu Shi: Xian Yun Pian,8.45,8, B.CMAY PICTURES, Web novel,TBD,81964,990,1955,136
Sono Bisque Doll wa Koi wo Suru\My Dress-Up Darling,8.45,12, CloverWorks, Manga, Winter 2022,562739,11603,303,137
YuuYuuHakusho\Yu Yu Hakusho: Ghost Files,8.45,112, Studio Pierrot, Manga, Fall 1992,586681,19322,279,138
Mushishi Zoku Shou: Odoro no Michi\Mushishi Path of Thorns,8.44,1, Artland, Manga,TBD,89211,114,1841,139
Saiki Kusuo no -nan 2\The Disastrous Life of Saiki K. 2,8.44,24," J.C.Staff, Egg Firm", Manga, Winter 2018,522174,3708,335,140
Wu Liuqi Zhi Xuanwu Guo Pian\Scissor Seven,8.44,10," None found, add some", Original,TBD,31679,477,3338,141
Gintama: Yorinuki Gintama-san on Theater 2D,8.44,2, Sunrise, Manga,TBD,38603,42,3007,142
"JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season\JoJos Bizarre Adventure: Stardust Crusaders - Battle in Egypt""",8.44,24, David Production, Manga, Winter 2015,904255,17533,134,143
Grand Blue\Grand Blue Dreaming,8.43,12, Zero-G, Manga, Summer 2018,618617,15480,256,144
Kono Oto Tomare! 2nd Season\Kono Oto Tomare!: Sounds of Life Season 2,8.43,13, Platinum Vision, Manga, Fall 2019,132928,1412,1375,145
Koukaku Kidoutai: Stand Alone Complex\Ghost in the Shell: Stand Alone Complex,8.43,26, Production I.G, Manga, Fall 2002,361516,7994,495,146
Mononoke,8.43,12, Toei Animation, Original, Summer 2007,272111,6741,707,147
Saiki Kusuo no -nan\The Disastrous Life of Saiki K.,8.43,120," J.C.Staff, Egg Firm", Manga, Summer 2016,888665,23512,139,148
Yoru Ni Kakeru\Racing Into The Night,8.42,1," None found, add some", Other,TBD,11078,63,5266,149
Kotarou wa Hitorigurashi\Kotaro Lives Alone,8.42,10, LIDENFILMS, Manga,TBD,39315,612,2971,150
Major S5,8.42,25, SynergySP, Manga, Winter 2009,64682,601,2254,151
